タイトル,あらすじ,ジャンル
スイートプールサイド,"男子なのに毛が生えないことに悩む高校1年生・太田と、同じ水泳部の毛深い女子・後藤綾子。""毛""にまつわる悩みを抱えた2人の姿をコミカルに描いた青春映画。",スポーツをテーマにしたヒューマンドラマ
そこのみにて光輝く,罪悪感を抱え、迷いながら生きる若者が、知り合った青年の姉に心惹かれていく。2人は距離を縮めていくが、ある日彼女の衝撃的な事実が明らかになる。,インディーズ映画
日々ロック,ヘタレロッカー・日々沼拓郎が、デジタル系トップアイドルから、曲を書いてほしいと依頼を受ける。ロックバカと見た目によらず凶暴なトップアイドルの運命は!?,ヒューマンドラマ
私の男,孤児の少女が愛した相手、それは自分を育てた遠縁の男だった。孤独な2人は寄り添うように暮らしていた。互いに深い喪失と、2人だけの濃密な秘密を抱えて…。,ヒューマンドラマ
わたしのハワイの歩きかた,ハードな編集者生活。友人の結婚をきっかけに一念発起。ガイド本は編集したけど、実は未経験のハワイへ乗り込むぞ! そこには新しい出会いと人生が待っていた。,コメディ
滝を見にいく,幻の滝を見にいく紅葉ツアーに7人のおばちゃんが参加。自然を楽しみながら山道を進むうち、ガイドが姿を消し、7人はいきなりサバイバル生活に放り出される。,インディーズ映画
0.5ミリ,"ある事件に巻き込まれ、家も仕事も失った介護ヘルパーのサワ。彼女は生活のため、訳アリの老人たちを見つけてはその生活に入り込む、""押しかけヘルパー""になる。",ヒューマンドラマ
映画 ハピネスチャージプリキュア! 人形の国のバレリーナ,"愛乃めぐみたちが保育園で人形劇を披露していると、人形がしゃべり出す。バレリーナ人形に王国を救ってほしいと頼まれ、人形たちの楽園""ドール王国""を訪れる。",アニメ
ゆるゆり　なちゅやちゅみ!,七森中ごらく部、キャンプに出発! せっかくの夏休みなんだから、思いっきり楽しまないと! 生徒会のみんなも誘って、楽しい思い出いっぱい作っちゃおう!,コメディ・ギャグアニメ
映画 プリキュアオールスターズ NewStage3 永遠のともだち,新しいプリキュアのめぐみとひめを探して、マナたちのもとへ妖精学校のグレルとエンエンがやってくる。ところが、子供たちが眠り続ける謎の事件が発生し...。,アニメ
キャプテンハーロック ～Space Pirate Captain Harlock～,大戦中の英雄だった広域指名手配犯、宇宙海賊キャプテンハーロック。地球に隠された真実を闇に葬ろうとする政府に反旗を翻し、人類の未来を切り開く戦いに挑む!,日本アカデミー賞受賞映画
攻殻機動隊ARISE,A.D. 2027。陸軍所属のサイボーグ、草薙素子が出会ったのは、ある事件を追う1人の男。のちに公安9課を構成する精鋭たちの、知られざる物語が始まる。,国内SF・ファンタジー
ドラゴンボールZ 神と神,"はかいの神、ビルスが長いねむりから目覚め、強い戦士を求めて地球にやって来た。この異次元の強敵を止められるのは、伝説の戦士""超サイヤ人ゴッド""しかいない!",国内アクション・アドベンチャー
日本統一シリーズ,地元ヤクザを解散に追い込み、シノギを奪おうと企む横浜の不良、氷室と田村。怖いもの知らずの2人は極道社会でのし上がり、敵だらけのいばらの道を歩んでゆく。,国内任侠映画
凶悪,元ヤクザ組員の死刑囚から未解決の殺人事件3件の真相を告白された雑誌記者が、凶悪殺人事件の真の首謀者の存在を世に暴くべく、事件にのめり込んでいく...。,ヒューマンドラマ
劇場版 STEINS;GATE 負荷領域のデジャヴ,大学生の岡部と仲間達は偶然、過去に送信できるメール「Dメール」を発明する。だが何度過去を改変しても仲間の死が訪れる。残酷な未来に絶望した岡部は…。,ビデオゲームが原作のアニメ
藁の楯 わらのたて,選ばれた5人の警察官の使命はばく大な懸賞金のかかった凶悪犯の護送。福岡から東京までの道中、日本全国から賞金目当ての人間が、彼を仕留めに現れる。,国内アクション・アドベンチャー
ベルセルク 黄金時代篇 III 降臨,鷹の団とガッツは1年のときを経て再び結集。幽閉されていたグリフィスを救出するが、ゴッド・ハンドが降臨して、それぞれの運命は壮絶なエンディングを迎える。,主人公最強アニメ
ゴールデンタイム,好景気に湧く1980年代の日本で、廃品置き場に捨てられてしまった60年代製のテレビ。捨てられた悲しい現実を受け入れられないテレビは、脱出を試みるが…。,国内SF・ファンタジー
ソードアート・オンライン Extra Edition,新しい物語を交えつつこれまでの内容を振り返る総集編。クジラが見たいというユイのため泳ぎの特訓をした直葉は、満を持して水中クエストに挑むが…。,主人公最強アニメ
ユダ,少女は過去と決別し、夜の世界に飛び込む。No. 1キャバクラ嬢にのし上がっても、心には深い孤独と怖れが。欲望の世界を走り続ける彼女が行き着く先とは?,実話に基づくヒューマンドラマ
東京闇虫,ギャンブルで多重債務者となった青年が、怪しげな仕事に手を出しつつ、どん底から這い上がろうとする姿を追う。人気コミックを実写化した異色のダークドラマ。,ヒューマンドラマ
ガッチャマン,謎の侵略者によって、わずか17日間で地球の半分を制圧され、絶滅を待つしかない状態となった世界。人々は人類存続をかけて、最後の望みを科学忍者隊にたくす。,国内SF・ファンタジー
不安の種,ある不気味な街に引っ越した一家を迎えたのは、この世のものとは思えない体験だった。身の毛もよだつ数々の怪異現象の謎とは...。漫画原作の衝撃ホラー映画。,漫画が原作の国内映画
リトルウィッチアカデミア,伝統ある魔法学校に入学したアッコ。新風を吹き込みたいけど、周りからは理解されない。そこへ、眠れる竜が復活する危機が! 立ち向かえるのはアッコだけ?,国内SF・ファンタジー
花鳥籠,かつて義父から性的虐待を受けたトラウマで男性不信になってしまったOLの寧子。唯一の慰めは、文字だけの会話で行われるネット上のバーチャルセックスだった。,ヒューマンドラマ
さよなら渓谷,長閑な町で幼児殺害事件が発生。実母が犯人として逮捕され、衝撃の事件は終息するかに見えたが、予期せぬ共犯者の存在が浮上、事件は新たな展開を見せ始める。,日本アカデミー賞受賞映画
舟を編む,出版社の営業部員・馬締(まじめ)は言語センスを買われて辞書編集部に異動することに。国語辞典「大渡海」の刊行に向け、馬締は編集作業に没頭していく。,日本アカデミー賞受賞映画
よくわかる! 陸上自衛隊 ～陸の王者! 日本を守る戦車の歴史～,日本領土の国防を任務とする陸上自衛隊。世界でもトップクラスを誇る戦車3種の性能を徹底比較し、貴重な映像を公開しながら設立から現在までの歴史を振り返る。,ドキュメンタリー
カルト,心霊番組のレポーターを務めるあびる優、岩佐真悠子、入来茉里。3人は母娘の除霊を取材するが、訪れた先で予測不能の恐怖体験に遭遇。果たして無事帰れるか。,インディーズ映画
捨てがたき人々,金もない怠け者の男を、誰もが怪訝そうな顔で見る。生きている証を快楽に求める男は、唯一笑顔で接してくれた京子と関係を持ち、なし崩しに家族となるが...。,ヒューマンドラマ
タイトロープ　〜アウトサイダーという生き方〜,不良少年に更生の道とプロデビューのチャンスを与えるアマチュア総合格闘技大会、THE OUTSIDER。この大会にかかわる男たちに迫ったドキュメンタリー。,国内ドキュメンタリー
ゴッドタン キス我慢選手権 THE MOVIE,24時間キスを我慢できたら勝ち、というルールを課せられたお笑い芸人。刺客やゾンビに追われながら、セクシー美女軍団の誘惑と懸命に戦うその姿は大爆笑必至。,コメディ
サカサマのパテマ,アイガ君主国の少年エイジはある日空を見上げ地下世界の「サカサマの少女」パテマに偶然出会う。それは封じられた「真逆の世界」の謎を解く、禁断の事件だった。,国内SF・ファンタジー
謝罪の王様,"""謝罪師""を生業とする黒島と助手の典子。ユニークな依頼人たちから舞い込む大小さまざまな事件を、謝罪のテクニックを駆使して見事解決に導いていく。",コメディ
よくわかる! 航空自衛隊 ～緊急発進! 日本を守る戦闘機～,日本の空を日々守る英雄、航空自衛隊。レーダーによる絶え間ない監視から緊急発進(スクランブル)の実施まで、普段は知ることのない防空任務の実像を垣間見る。,ドキュメンタリー
武士の献立,料理の腕が良い春が加賀藩台所方として有名な一家に嫁いだ。だが肝心の夫は一切料理ができない。このままでは家の評判は地に落ちてしまうと思った春は…。,実話に基づくヒューマンドラマ
しまじろうとフフのだいぼうけん 〜すくえ! 七色の花〜,島の花が次々と枯れて行くという謎の現象が起こる。しまじろうと友達は花の姫フフと出会い、フフのお母さんの救出のため大冒険を繰り広げる。,キッズ音楽
よくわかる! 海上自衛隊 ～海上防衛! 護衛艦～,"海上自衛隊。それは日本の周辺海域の安全を守るヒーロー達。任務の中心となる護衛艦隊をはじめ、最新の""ひゅうが""や""あきづき""など護衛艦の全貌を紹介する。",ドキュメンタリー
潔く柔く きよくやわく,大切な幼なじみを亡くして以来、恋ができないまま年を重ねるカンナ。ある日出会った男性・禄(ろく)にもまた辛い過去があると知り、次第に心が動かされていく。,漫画が原作の国内映画
すべては君に逢えたから,クリスマス直前の東京駅周辺。1日の利用者数が100万人を超えるメガステーションを背景に、10人の男女が織りなす6つのストーリーが交錯していく。,泣けるラブロマンス
甘い鞭,高校時代、隣家の男に監禁され弄ばれた末、男を殺害。凄絶なトラウマを抱えた奈緒子は、やがて不妊治療専門の美人女医に。そしてSMクラブM嬢という夜の顏も。,ホラー
風俗行ったら人生変わったwww,29歳の内気で奥手な童貞の男が風俗嬢に恋をする。彼女の数々の男性関係に嫉妬を覚えた彼は、自分が彼女にとって唯一の男になると決意する。,コメディ
フィギュアなあなた,麻薬取引を巡るいざこざに巻き込まれ、追われる身となった一匹狼の男。絶体絶命のピンチから救ってくれたのは、なんと生きたマネキンだった?!,国内SF・ファンタジー
横道世之介,不器用だが思いやり溢れる性格で誰からも好かれていた大学生、世之介。彼と過ごした日々の思い出は、16年後の今も友人たちの心に深く刻み込まれていた...。,ヒューマンドラマ
劇場版とある魔術の禁書目録エンデュミオンの奇蹟,"学園都市製宇宙エレベーター""エンデュミオン""の完成を控えたある日。上条当麻とインデックスが仲良くなった少女・鳴護アリサが、突如、魔術サイドから襲われる。",国内SF・ファンタジー
ハダカの美奈子 R-18,壮絶な過去を持つシングルマザーの運命を変えた出会い…。TVをにぎわす有名人の妻となった彼女を待っていたのは、これまでよりさらに波瀾万丈な生活だった。,実話に基づくヒューマンドラマ
アラグレ,"チンピラたちの弟分として生きる星哉は、かつて属していた""東京∞(むげん)""の元総長が出所した際に起きたある事件への関わりを疑われ、窮地に立たされる。",国内アクション・アドベンチャー
R-18 文学賞 vol.2 ジェリー・フィッシュ,夕紀は、クラスで浮いた存在の女子高生。ある日、同級生の叶子と唇を重ね、2人は次第に惹かれ合う。だが、叶子は突然彼氏を作り、夕紀の心は激しく乱れてゆく。,LGBTQを描いたヒューマンドラマ
映画 プリキュアオールスターズNew Stage 2 こころのともだち,妖精学校からパーティに招待されて大喜びのプリキュアたちだが、怪しい影に変身アイテムを盗まれて大ピンチ。影から学校や妖精を救うためプリキュアが総動員。,アニメ
うそつきパラドクス,"遠距離恋愛中で会えない彼の替わりに、""うその恋人""にしてほしいと会社の同僚に申し出た男。だが、うそから始まった2人の関係は、次第にエスカレートしていく。",官能的なラブロマンス
映画かいけつゾロリ まもるぜ! きょうりゅうのたまご,"仲良しのきょうりゅうのママが住む南の島""おっとっ島""。はげしい台風で海に放り出されたたまごを取りもどすため、大あれの海にとびこむゾロリたち...!",キッズアニメ
映画 ドキドキ!プリキュア マナ結婚!!? 未来につなぐ希望のドレス,祖母と母が着たウエディングドレスをもらったマナは、そのドレスを着る日に思いを馳せ胸をときめかせる。しかし、謎の男が出現し、過去の世界に飛ばされてしまう。,アニメ
ぼっちゃん,劣等感を抱いた孤独な男、梶。工場で働き始めて期間工と意気投合するが、予期せぬ解雇や親友の裏切り、叶わぬ恋が、梶を追い込む。そして梶は秋葉原へ向かう。,ブルーリボン賞受賞映画
高速ばぁば,アイドル3人組・ジャージガールは番組のレポーターとして廃墟の老人ホームを訪問。凄まじい速さで移動する老婆に遭遇した日を境に、次々と異変が起こり始める。,インディーズ映画
桜姫,ある夜押し入った盗賊に体を奪われた桜姫。その男のことがどうしても忘れられず、すべてを捨てて遊女となった姫は運命の男との再会を待ちわびるが…。,歴史・時代劇
闇金ウシジマくん,母親の借金のせいでモラルや目標を見失う女と、金と成功に目が眩んだチャラ男。冷酷無比な伝説の闇金ウシジマの壮絶な取り立てに追われる2人の若者の運命は…。,ヒューマンドラマ
ONE PIECE FILM Z,全海賊抹殺を企む元海軍大将ゼットが、古代兵器に匹敵すると言われる巨大なエネルギーを持つダイナ岩を強奪。ルフィたちは傷ついたゼットを偶然助けるが...。,日本アカデミー賞受賞映画
るろうに剣心,動乱の幕末で最強の暗殺者と恐れられていた緋村剣心。もう人を殺さないと誓いを立てた剣心は斬れない刀を携え、人助けをしながら流浪の旅を続けていたのだが...。,国内アクション・アドベンチャー
ベルセルク 黄金時代篇 I 覇王の卵,"戦地を渡り歩く孤高の剣士ガッツは、傭兵集団""鷹の団""のリーダー、グリフィスに見出され団の一員に。数々の死線をくぐり抜ける中で、仲間との絆を深めていく。",主人公最強アニメ
悪の教典,絶大な人気を誇る高校教師の蓮実だが、その真の姿は問題解決の手段を選ばないサイコパス。彼が考えた究極の解決策は、クラスの生徒全員を惨殺することだった。,ホラー
劇場版 魔法少女 まどかマギカ [後編]永遠の物語,願いから生まれる魔法少女の物語が再び、新たな物語としてつむがれる。 ＴＶシリーズを再構成した劇場版2作。 「さあ、鹿目まどか――その魂を代価にして、君は何を願う？」,国内SF・ファンタジー
ヘルタースケルター,芸能界のトップスターりりこ。全身整形で完璧な美貌を手に入れたが、今では後遺症に苛まれ、熾烈なトップ争いの中で頂点から転落する恐怖に追い詰められていた…。,ヒューマンドラマ
奴隷市,"老舗の温泉旅館を切り盛りする夫婦が、SM愛好家の出会いの場である""奴隷市""をきっかけに怪しい欲望に目覚め、禁断の快楽の虜となっていく。",ヒューマンドラマ
私の奴隷になりなさい ディレクターズ・カット（R-18）,どこか艶めかしい先輩からの、突然の甘い誘い。禁断の果実の味に導かれるまま、男は彼女の秘められし本性を知る。翻弄される男の行き着く先は、果たして…。,ヒューマンドラマ
外事警察 その男に騙されるな,国際テロを未然に防ぐ組織である外事警察に、朝鮮半島からの濃縮ウラン流出情報と、軍事機密データ盗難の知らせが届く。はたして核の脅威を阻止できるのか?,ヒューマンドラマ
劇場版 魔法少女 まどかマギカ [前編]始まりの物語,願いから生まれる魔法少女の物語が再び、新たな物語としてつむがれる。 ＴＶシリーズを再構成した劇場版2作。 「さあ、鹿目まどか――その魂を代価にして、君は何を願う？」,国内SF・ファンタジー
劇場版 FAIRY TAIL －鳳凰の巫女－,魔導士のナツと仲間達の前に立ちはだかる、永遠の命を手に入れようとする王子の邪悪な陰謀と、かつてない強大な敵。古の封印が解かれし時、世界は炎に包まれる!,主人公最強アニメ
壇蜜と僕たち ～映画「私の奴隷になりなさい」より～,妖艶な魅力でブレイク中の壇蜜がヒロインを熱演する「私の奴隷になりなさい」の撮影現場に完全密着。未公開シーンや他では見られない貴重な映像も収録。,ショービジネスの世界を描いたドキュメンタリー
ベルセルク 黄金時代篇 II ドルドレイ攻略,"グリフィス率いる""鷹の団""は、次々と勝利を収める。しかし、敵国チューダー帝国との100年戦争で苦戦したミッドランド王国は、鷹の団に無謀な命令を下す。",主人公最強アニメ
トリハダ －劇場版－,上司と密かに不倫を続けるコールセンターのオペレーター。陰湿な苦情を頻繁に入れてくる客が実は隣人だと知ったとき、彼女の人生は音を立てて崩れ始める。,ホラー
宇宙兄弟,UFOを目撃し宇宙飛行士になろうと誓い合った兄弟。その19年後、弟は優れた宇宙飛行士に。一方、無職で鬱屈した日々を送っていた兄だが...。,ヒューマンドラマ
すべては「裸になる」から始まって,18歳でデビューしAVクイーンの座に就いた森下くるみ。引退後、生い立ちや撮影現場の様子を赤裸々に綴った自伝的小説を出版した彼女に、映画化の話が持ち上がる。,実話に基づくヒューマンドラマ
鍵泥棒のメソッド,売れない役者が偶然手に入れた鍵。その持ち主はなんと記憶喪失の殺し屋だった。2人の人生が入れ替わったとき、悲劇、いや、喜劇が始まる!,日本アカデミー賞受賞映画
大奥 〜永遠〜［右衛門佐・綱吉篇］,男女逆転異色時代劇シリーズ最終章。栄華を誇る徳川幕府は女将軍綱吉に3000人の美男子が仕える大奥だった。娘を亡くした綱吉は世継ぎ作りに専念することに。,歴史・時代劇
莫逆家族 バクギャクファミーリア,"かつて暴走族のトップだった男は鬱屈した毎日を送っていた。ある日、仲間の娘が暴行された事件をきっかけに、再び""家族""を結束させ、暴力の世界に身を投じる。",国内アクション・アドベンチャー
映画 ひみつのアッコちゃん,化粧品会社のエリート社員に恋心を抱く、大学生のアッコ。でも、アッコには誰にも言えない秘密が。彼女は、魔法のコンパクトで大人の女に変身した小学生だった!,ラブコメディ
ひまわりと子犬の七日間,7日間が過ぎれば、時間切れで処分されてしまう…。保健所職員の男が、生まれたばかりの子犬を守り、飼い主をさがすことを決意する。,実話に基づくヒューマンドラマ
しあわせのパン,東京から北海道・月浦に移り住み、小さなパンカフェを始めた若い夫婦。洞爺湖の四季の風景と、店を訪れる個性豊かな人々の人生を描く物語。,ヒューマンドラマ
アナザー Another,入院中に不思議な少女と出会った主人公の少年。学校で再会したその少女は、クラスメイトから見えていないも同然の扱いを受けていた。,ホラー
3.11東日本大震災 自衛隊災害派遣 絆 〜キズナノキオク〜,2011年3月11日の東北地方太平洋沖地震。巨大津波と原子力災害は未曾有の事態をもたらした。インタビューや記録映像とともに、自衛隊による救援活動を綴る。,ドキュメンタリー
劇場版 BLOOD-C The Last Dark,日本刀を手に異形のモノと戦う、人ならぬ少女・小夜。東京に君臨する怨敵・文人に復讐を遂げるべく、刃を血で染めてゆく。様々な思惑の中、決戦の時が訪れる。,国内アクション・アドベンチャー
ジョーカーゲーム,"和気あいあいとした高校生達の合宿で行われる、""ババヌキ""。だが、それは生き残りをかけた壮絶なゲーム。死の合宿で生き残れるのは、恐怖のゲームの勝者のみ。",ホラー
ウルトラマンサーガ,"ほとんどの生物が姿を消した""フューチャーアース""に残された者たちを救え! 時空を超えて駆けつけたダイナ、ゼロ、コスモスが今、力を合わせて立ち上がる。",キッズ・ファミリー映画
アフロ田中,強烈な天パが目を引く広はさっぱりモテない。ある日、昔からの仲間が婚約。式には彼女を同伴するという男同士の約束があった!,ヒューマンドラマ
虹色ほたる～永遠の夏休み～,亡き父との思い出の場所を訪れた小学生のユウタは、ひょんなことから30年以上前にダムに沈んだ村へタイムスリップ。決して忘れられない不思議な夏休みが始まる。,国内SF・ファンタジー
映画 プリキュアオールスターズ NewStage みらいのともだち,みなとみらいが謎の怪物・フュージョンを倒したプリキュアの話題に沸く中、転校生・あゆみは謎の生き物と出会う。だが、それはフュージョンのカケラだった!,アニメ
映画かいけつゾロリ だ･だ･だ･だいぼうけん!,お宝を手に入れようと訪れた山のふもとの村には、病気に苦しむたくさんの子どもたちが! ゾロリはあることを目的に、薬に必要な材料を危険な山へ探しに行く。,キッズアニメ
映画 Go!プリンセスプリキュア Go!Go!!豪華３本立て!!!,ハロウィーンをテーマにした史上初の豪華3本立て。マジカルな国を舞台に、お姫様を救ったり、夜の闇から昼を取り戻したり、プリキュアたちが冒険を繰り広げる。,キッズアニメ
映画 スマイルプリキュア! 絵本の中はみんなチグハグ!,世界中の絵本が集まるイベントにやってきた5人のプリキュア。そこで出会った不思議な女の子・ニコちゃんに連れられ、不思議なおとぎ話の世界に入り込む。,アニメ
映画 鈴木先生,国語教師の鈴木は独自の教育理論を実践する理想的なクラスの実現を目指すが、中心的役割を担う1人の女子生徒に心を奪われてしまい、次第に計画が狂い始める。,ヒューマンドラマ
王様とボク,事故に遭い、ずっと眠っていたかつての親友が目を覚ました事を知るミキヒコ。12年ぶりに再会した友は、身体こそ青年に成長したものの、心は6歳のままだった。,ヒューマンドラマ
モテキ,"モテない草食系男子なニュースサイトのライター・藤本幸世に突然訪れた奇跡の""モテキ""。4人の美女に翻弄されて、幸世は本当の恋愛にたどりつけるのか?",ラブコメディ
我々は有吉を訴えるべきかどうか迷っている,"お笑い芸人・有吉弘行が、過去2度の""人でなし""ぶりを反省し、3度目の正直としてヒッチハイクに挑む。北海道を舞台にかつてない衝撃の展開が我々を襲う!",国内バラエティ・お笑い
岳 －ガク－,山岳救助ボランティアの島崎三歩は見習いの椎名久美と共に、北アルプスで遭難者の救助活動に従事していた。そんなある日、猛吹雪の中で多重遭難事故が発生する。,国内アクション・アドベンチャー
恋の罪,ラブホテル街で発生した猟奇殺人事件。担当の女刑事がたどり着いたのは、秘密を抱えたエリート助教授と献身的な主婦...。女達をめぐる愛の地獄が始まる。,ヒューマンドラマ
パラダイス・キス,受験勉強に追われる女子高生が、服飾専門学校生から学園祭のモデルにスカウトされる。最初は戸惑うが、夢を追う個性的な仲間と出会い、自ら歩む道を模索し始める。,ティーン向け恋愛・ラブストーリー
トリコ 開幕! グルメアドベンチャー!!,伝説の美食屋・トリコは、村を襲う怪鳥ゲロルドの退治を少年から頼まれた。未開の味を求め、願いを聞き入れるトリコ。食うか食われるか、グルメバトルが始まる!,キッズアニメ
ワイルド7,日本の国家警察が極秘で出動させたライダー集団。メンバーは全員、元凶悪犯。そのミッション、政界にコネを持つ大物犯罪者の粛正。アウトローな彼らが悪を討つ!,国内アクション・アドベンチャー
スマグラー おまえの未来を運べ,役者への夢に挫折したフリーター・砧が借金返済のために引き受けた仕事は、なんと死体を運ぶ運送屋だった。さらに真夜中に伝説の殺し屋を運ぶことになり...。,国内アクション・アドベンチャー
ヒミズ,両親に見捨てられ、絶望の中を生きる15歳の少年・住田と少女・景子。東日本大震災の被災地を舞台に、普通の生活を切望する2人の苦悩と葛藤を描く衝撃作。,日本アカデミー賞受賞映画
うさぎドロップ,独身サラリーマンのダイキチは、死んだ祖父の隠し子だという6歳の女の子を引き取ることに。突然同居し始めた2人が、本当の家族のような絆で結ばれていく。,ヒューマンドラマ
忍たま乱太郎,忍術学園に入学するも授業では落ちこぼれの乱太郎。暗殺者に狙われている友達とその父親を救うために立ち上がるが、前途にはさまざまな試練が待ち受けていた。,ヒューマンドラマ
阪急電車 片道15分の奇跡,片道15分の阪急今津線の車内で、様々な事情を抱えた乗客たちの運命が交錯したとき、小さな心温まる奇跡が起きる。,ロマンチックなヒューマンドラマ
阿部定 ～最後の七日間～,"昭和11年、日本中を震撼させた""阿部定事件""。愛人・吉蔵殺害の罪で逮捕された娼婦・定の証言を基に、事件の真相が語られる。定は本当に吉蔵を殺したのか?",実話に基づくヒューマンドラマ
高校デビュー,"中学で部活一筋だった晴菜は高校生活を恋に捧げようと決意。だが半年経っても彼氏ができない。そこで校内イチ人気の先輩に""モテコーチ""を依頼することに...。",ティーン向け恋愛・ラブストーリー
漫才ギャング,漫才コンビの相方から解散を告げられた飛夫はトラブルに巻き込まれ、留置所へ。そこで出会った不良少年、龍平のツッコミの才能に気づき、コンビ結成を申し込む。,アクションコメディ
八日目の蝉,赤ん坊の頃に誘拐され、4歳まで誘拐犯に育てられた恵里菜。自分が新たな命を宿していることを知った恵里菜は、封印していた過去の記憶と向き合う決意をする。,日本アカデミー賞受賞映画
夜明けの街で,幸せな結婚生活を送りながら部下と不倫の恋に落ちた男。逢瀬を重ねるごとに深みにはまっていく男だったが、彼女の過去には黒い秘密があった…。,ヒューマンドラマ
ワンピース 麦わらチェイス,ルフィの命よりも大切な麦わら帽子がこつ然と消える。血眼になって探すうち、麦わら帽子をくわえた大ワシを発見。一方チョッパーは漂流船から老海賊を救出する。,国内アクション・アドベンチャー
静かなるドン 新章3 頂上決戦!! 鮮血の大阪抗争編,ランジェリー・デザイナーと、関東最大の暴力団総長としての二重生活を送る近藤静也。そんなある日、関西最大の鬼州組組長が、静也の元に乗り込んでくる。,国内アクション・アドベンチャー
